0,1,2,3,4,5,6,7,8
U821808198 RESIDENCE,,7727 AUBURN,DETROIT,"48228
WAYNE",View,,,
,,EGLE Air Quality Division Source Master List Sorted By ZIP Code,,,,,,
Source ID,Company,Address,City,ZIP Code County,Other* ROP,PTI,,
U821609835 VACANT STRUCTURE,,7393 ROSEMONT,DETROIT,"48228
WAYNE",View,,,
U822000662 RESIDENCE,,960 E. MARGARET,DETROIT,"48229
WAYNE",View,,,
U822000664 RESIDENCE,,11701 MAIDEN,DETROIT,"48229
WAYNE",View,,,
U821904691 COMMERCIAL BUILDING,,4468 W. JEFFERSON AVENUE,ECORSE,"48229
WAYNE",View,,,
B4364,EDW C LEVY CO PLANT 3,100 WESTFIELD,ECORSE,"48229
WAYNE","View
View",,,
P0017,HASCALL STEEL CO,64 MILL ST,ECORSE,"48229
WAYNE",View,,,
A7809,U S STEEL GREAT LAKES WORKS,1 QUALITY DR,ECORSE,"48229
WAYNE",View,View View,,
P0077,DETROIT INTERNATIONAL BRIDGE CO,3001 W FORT ST,DETROIT,"48232
WAYNE",,View,,
U821502401 VACANT,,7799 PERSHING,DETROIT,"48232
WAYNE",View,,,
A8892,AMERITI MANUFACTURING COMPANY,19300 FILER AVENUE,DETROIT,"48234
WAYNE",View,View,,
"U821504083 BP GAS STATION,  B & A FUEL, INC.",,4125 E. 8 MILE ROAD,DETROIT,"48234
WAYNE",View,,,
M4577,CASEY’S CONCRETE CARRIERS CORP.,18001 MOUNT ELLIOTT,DETROIT,"48234
WAYNE",,View,,
N6693,COOPER HEAT TREATING LLC,20251 SHERWOOD AVENUE,DETROIT,"48234
WAYNE",View,View,,
M4623,"CROWN GROUP, LYNCH ROAD PLANT",6334 LYNCH RD.,DETROIT,"48234
WAYNE",View,,,
B2164,FIAT CHRYSLER AUTOMOBILES CONNER CENTER,20000 CONNER,DETROIT,"48234
WAYNE",View,,,
P0492,INDUSTRIAL ASSET RECYCLING,3775 OUTER DRIVE EAST,DETROIT,"48234
WAYNE",View,,,
M4661,"INSITE REAL ESTATE, LLC",19451 SHERWOOD,DETROIT,"48234
WAYNE",View,,,
M4189,JUDD WAREHOUSING,4890 E. NEVADA,DETROIT,"48234
WAYNE",View,,,
N7598,PTI PAINT SATELLITE LLC,6501 E NEVADA,DETROIT,"48234
WAYNE",,View,,
U821603097 RESIDENCE,,19715 HARNED STREET,DETROIT,"48234
WAYNE",View,,,
U821603100 RESIDENCE,,19304 HARNED STREET,DETROIT,"48234
WAYNE",View,,,
U821604736 RESIDENCE,,19608 MITCHELL,DETROIT,"48234
WAYNE",View,,,
U821700442 RESIDENCE,,19187 LAMONT,DETROIT,"48234
WAYNE",View,,,
EN8200153,SEVEN MILE OSBORNE CLEANERS,4535 E. SEVEN MILE,DETROIT,"48234
WAYNE",View,,,
U821512723 VACANT HOUSE,,612 GLYNN CT ST,DETROIT,"48234
WAYNE",View,,,
U821708482 COMMERCIAL BUILDING,,16820 GREENFIELD,DETROIT,"48235
WAYNE",View,,,
K1276,DMC SINAI GRACE HOSPITAL,6071 WEST OUTER DRIVE,DETROIT,"48235
WAYNE",View,View,,
P0092,M M & S INVESTMENTS II,16850 JAMES SOUZENS,DETROIT,"48235
WAYNE",,View,,
U821900254 RESIDENCE,,19795 HARLOW,DETROIT,"48235
WAYNE",View,,,
M1812,ASCENSION ST. JOHN HOSPITAL,22101 MOROSS RD,DETROIT,"48236
WAYNE",View,View,,
K9506,TRIANGLE EAST INC.,18555 EAST WARREN,DETROIT,"48236
WAYNE",View,,,
U822004002 THE WAR MEMORIAL,,32 LAKE SHORE DRIVE,GROSSE POINTE FARMS,"48236
WAYNE",View,,,
EN8200361,40 MINUTE INDIAN VILLAGE,20948 MACK AVENUE,GRSSE PTE WDS,"48236
WAYNE",View,,,
EN8200382,HENRY'S CLEANERS-GROSSE PTE WOODS,20119 MACK AVE,GRSSE PTE WDS,"48236
WAYNE",View,,,
EN8200161,INFINITY CLEANERS,20525 MACK AVENUE,GRSSE PTE WDS,"48236
WAYNE",View,,,
N7643,MICHIGAN FUELS INC,20700 MACK AVE,GRSSE PTE WDS,"48236
WAYNE",View,,,
EN6300069,ARNOLD CLEANERS,22185 COOLIDGE HWY.,OAK PARK,"48237
OAKLAND",View,,,
EN6300290,HUNTINGTON CLEANERS,8775 CAPITAL STREET,OAK PARK,"48237
OAKLAND",View,,,
N5174,LAWFORD FABRICATING CO INC,21650 WYOMING CT,OAK PARK,"48237
OAKLAND",View,,,
N8184,OAK PARK FAST TRACK LLC,8600 WEST 9 MILE RD,OAK PARK,"48237
OAKLAND",View,View,,
P0397,PARAMOUNT PRECISION PRODUCTS ENGINEERING BUILDING,26650 HARDING AVE,OAK PARK,"48237
OAKLAND",View,,,
P0396,PARAMOUNT PRECISION PRODUCTS PLANT 1,15255 W 11 MILE ROAD,OAK PARK,"48237
OAKLAND",View,,,
A5153,PARAMOUNT PRECISION PRODUCTS PLANT 2,26659 HARDING AVE,OAK PARK,"48237
OAKLAND",View,,,
U63130087,"PROWHEELS, INC.",12720 CAPITAL STREET,OAK PARK,"48237
OAKLAND",View,,,
P0080,SPEEDWAY GAS STATION #8814,24771 COOLIDGE HWY,OAK PARK,"48237
OAKLAND",View,View,,
N7684,"UNIVERSAL PIPING INDUSTRIES, LLC",12930 CAPITAL,OAK PARK,"48237
OAKLAND",View,,,
P0589,"UNIVERSAL PIPING INDUSTRIES, LLC",12900 CAPITAL STREET,OAK PARK,"48237
OAKLAND",View,,,
U631901652 VALLEY CITY LINEN,,13165 CLOVERDALE STREET,OAK PARK,"48237
OAKLAND",View,,,
A5694,ZITEK CORP DBA H.O. TRERICE CO.,12950 W EIGHT MILE RD,OAK PARK,"48237
OAKLAND",View,,,
A8065,"CLEAN EARTH, INC.",8647 LYNDON,DETROIT,"48238
WAYNE",View,,,
U822000915 COMMERICAL PROPERTY,,14435 AND 14445  LIVERNOIS AVENUE,DETROIT,"48238
WAYNE",View,,,
EN8200062,DAVISON CLEANERS,2051 W. DAVISON,DETROIT,"48238
WAYNE",View,,,
A8831,DCI AEROTECH INC,7514 LYNDON,DETROIT,"48238
WAYNE",View,View,,
U821513431 ENCHANTED GARDEN,,19338 LIVERNOIS,DETROIT,"48238
WAYNE",View,,,
N7938,FERGUSON ENTERPRISE INC,14385 WYOMING,DETROIT,"48238
WAYNE",View,,,
U82120368,"GILREATH MANUFACTURING, INC.",8100 SCHOOLCRAFT AVENUE,DETROIT,"48238
WAYNE",View,,,
P0329,NEIGHBORHOOD SERVICE ORGANIZATION,"220 BAGLEY, SUITE 1200",DETROIT,"48238
WAYNE",,View,,
B0785,QUAKER CHEMICAL CORP.,14301 BIRWOOD AVENUE,DETROIT,"48238
WAYNE",View,,,
U821513206 RESIDENCE,,19357 STAHALIN,DETROIT,"48238
WAYNE",View,,,
U821808159 RESIDENCE,,13103 LASALLE BLVD,DETROIT,"48238
WAYNE",View,,,
P0150,SET DUCT MANUFACTURING,7800 INTERVALE,DETROIT,"48238
WAYNE",,View,,
N7356,UNCLE RAY'S POTATO CHIPS,14245 BIRWOOD,DETROIT,"48238
WAYNE",View,,,
U822101997 VACANT RESIDENCE,,14202 INDIANA,DETROIT,"48238
WAYNE",View,,,
U822101998 VACANT RESIDENCE,,14205 INDIANA,DETROIT,"48238
WAYNE",View,,,
P0866,VERNDALE PRODUCTS,8445 LYNDON,DETROIT,"48238
WAYNE",View,,,
P0867,VERNDALE PRODUCTS,18940 WEAVER,DETROIT,"48238
WAYNE",View,,,
A8638,DETROIT DIESEL CORPORATION,"13400  OUTER DRIVE,  WEST",DETROIT,"48239
WAYNE",View,View View,,
U821811148 THE LECHAMBRE LOUNGE,,14100 TELEGRAPH ROAD,DETROIT,"48239
WAYNE",View,,,
A7469,ADVANCE ENGINEERING CO,12025 DIXIE AVE,REDFORD TWP,"48239
WAYNE",View,,,
H5921,AEVITAS SPECIALTY SERVICES CORP.,12680 BEECH-DALY,REDFORD TWP,"48239
WAYNE",View,,,
EN8200288,BETTY BRITE DRY CLEANERS,23222 PLYMOUTH ROAD,REDFORD TWP,"48239
WAYNE",View,,,
M4663,CORUM CABINET WORKS,12568 INKSTER ROAD,REDFORD TWP,"48239
WAYNE",View,,,
B4785,MCNICOLS POLISHING AND ANODIZ,12139 WOODBINE RD,REDFORD TWP,"48239
WAYNE",,View,,
B3338,PAT MILLIKEN FORD INC,9600 TELEGRAPH ROAD,REDFORD TWP,"48239
WAYNE",View,,,
N7608,PST HEAT TREATMENT LLC,24200 PLYMOUTH RD,REDFORD TWP,"48239
WAYNE",View,,,
B5038,"STEEL INDUSTRIES - PLANT 1,2,&3",12600 BEECH DALY RD.,REDFORD TWP,"48239
WAYNE",,View,,
P0870,SUPERIOR CASKET COMPANY,26789 FULLERTON,REDFORD TWP,"48239
WAYNE",View,,,
N0329,Z TECHNOLOGIES CORP,26500 CAPITOL AVENUE,REDFORD TWP,"48239
WAYNE",View,View,,
EN8200374,IRV'S DELUXE CLEANERS,26169 WEST SIX MILE ROAD,REDFORD TWP,"48240
WAYNE",View,,,
EN8200166,RIO CLEANERS,26621 W. 7 MILE,REDFORD TWP,"48240
WAYNE",View,,,
M4727,SPEEDWAY SUPERAMERICA LLC # 8737,27360 GRAND RIVER,REDFORD TWP,"48240
WAYNE",View,View,,
M4164,"DELTA AIR LINES, INC.",DETROIT METRO AIRPORT,DETROIT,"48242
WAYNE",View,,,
M4174,DETROIT METROPOLITAN WAYNE COUNTY AIRPORT,BERRY ADMINISTRATION BUILDING,DETROIT,"48242
WAYNE",View,View View,,
,,EGLE Air Quality Division Source Master List Sorted By ZIP Code,,,,,,
Source ID,Company,Address,City,ZIP Code County,Other* ROP,PTI,,
N6544,SWISSPORT FUEL SERVICES,DETROIT METROPOLITAN AIRPORT,DETROIT,"48242
WAYNE",View,,,
N7859,ATLANTIC RICHFIELD CO,102 WEST BROOKLYN RD,NAPOLEON,"48261
JACKSON",View,,,
M4168,"RIVERFRONT HOLDINGS, INC.",200 E JEFFERSON,DETROIT,"48265
WAYNE",,View,,
EN6300278,TOWNSEND CLEANERS DBA,2531 MAPLE RD,BLOOMFIELD,"48301
OAKLAND",View,,,
N7515,"DETROIT WATER & SEWERAGE, FRANKLIN PUMPING STATION",7404 INKSTER RD,W BLOOMFIELD,"48301
OAKLAND",View,View,,
EN6300068,BEST CLEANERS,4445 WILLOWAY,BLOOMFELD HLS,"48302
OAKLAND",View,,,
EN6300289,DRYCLEAN DEPOT LLC,2527 TELEGRAPH ROAD,BLOOMFIELD,"48302
OAKLAND",View,,,
N6680,MEL FARR IMPORTS,1765 TELEGRAPH ROAD,BLOOMFIELD,"48302
OAKLAND",View,,,
U631707534 ANDERSON HONDA,,1819 S. TELEGRAPH RD.,BLOOMFIELD HILLS,"48302
OAKLAND",View,,,
P1237,CONTOUR COMPANIES,40950 WOODWARD AVENUE,BLOOMFELD HLS,"48304
OAKLAND",View,,,
N2281,CRANBROOK ACADEMY OF ART,500 LONE PINE RD,BLOOMFELD HLS,"48304
OAKLAND",View,View,,
EN6300201,MIRACLEAN DRY CLEANERS,42646 NORTH WOODWARD AVENUE,BLOOMFIELD,"48304
OAKLAND",View,,,
U631909859 VACANT MONTESSORI,,2101 S. OPDYKE,BLOOMFIELD TOWNSHIP,"48304
OAKLAND",View,,,
EN8200261,ACE 40 MINUTE CLEANERS,2101 ABERDEEN CT,ROCHESTER,"48306
WAYNE",View,,,
EN5000094,CAROUSEL CLEANERS,1236 WELLAND DR,ROCHESTER,"48306
MACOMB",View,,,
M4219,HAROLD FOGLER,3320 N ROCHESTER RD,ROCHESTER,"48306
OAKLAND",View,,,
N5337,LYON SAND & GRAVEL CO,1950 INWOOD ROAD,ROCHESTER,"48306
OAKLAND",View,,,
U632003307 ARAYMOND  TINNERMAN AUTOMOTIVE,,3091 RESEARCH DRIVE,ROCHESTER HILLS,"48306
OAKLAND",View,,,
A5049,FERBER WAREHOUSING,6841 NORTH ROCHESTER ROAD,ROCHESTER HLS,"48306
OAKLAND",View,,,
N8324,SPEEDWAY SUPERAMERICA LLC (SSA 8830),6980 ROCHESTER RD (STORE 8830),ROCHESTER HLS,"48306
OAKLAND",View,,,
U631907111 COMMERCIAL BUILDING,,119 S. MAIN,ROCHESTER,"48307
OAKLAND",View,,,
N0990,EXCEL DECORATING & FINISHING,480 E. SECOND STREET,ROCHESTER,"48307
OAKLAND",View,,,
B2329,PAR STERILE PRODUCTS LLC,870  PARKDALE RD,ROCHESTER,"48307
OAKLAND",View,View,,
B8907,PARKDALE PHARMACEUTICALS,1200 PARKDALE,ROCHESTER,"48307
OAKLAND",,View,,
N5358,TROY LABORATORIES INC,440 SOUTH STREET,ROCHESTER,"48307
OAKLAND",View,,,
EN6300183,VILLAGE CLEANERS,134 MAIN STREET,ROCHESTER,"48307
OAKLAND",View,,,
EN6300054,CICI CLEANERS,829 EAST AUBURN ROAD,ROCHESTER HLS,"48307
OAKLAND",View,,,
N8139,"LOWE'S HOME CENTERS, INC",3277 S ROCHESTER RD,ROCHESTER HLS,"48307
OAKLAND",,View,,
EN6300252,NORTH HILL CLEANERS,1449 ROCHESTER RD,ROCHESTER HLS,"48307
OAKLAND",View,,,
N5497,SPEEDWAY SUPERAMERICA LLC (SSA #8832),1010 ROCHESTER ROAD,ROCHESTER HLS,"48307
OAKLAND",,View,,
N5064,HARMAN CORP,360 SOUTH ST,ROCHESTER,"48308
OAKLAND",View,,,
M4158,A AUTO POINT COLLISION CORP,,AUBURN HILLS,"48309
OAKLAND",View,,,
N3422,OAKLAND UNIVERSITY,408 MEADOW BROOK ROAD,ROCHESTER,"48309
OAKLAND",View,View,,
N1165,QUASAR INDUSTRIES,,ROCHESTER,"48309
OAKLAND",,View,,
U63148735,"ADDCOMP NORTH AMERICA, INC.",2932 WATERVIEW DR.,ROCHESTER HILLS,"48309
OAKLAND",View,,,
U631704861 RESIDENCE,,1171 AUBURN ROAD,ROCHESTER HILLS,"48309
OAKLAND",View,,,
EN6300073,"ADAMS CLEANERS, INC.",3164 WALTON BLVD.,ROCHESTER HLS,"48309
OAKLAND",View,,,
B4137,AJAX MATERIALS CORPORATION,2240 AVON INDUSTRIAL DR,ROCHESTER HLS,"48309
OAKLAND",View,View,,
P0583,"FOAMPARTNER AMERICAS, INC.(FORMERLY OTTO BOCK)",2923 TECHNOLOGY DRIVE,ROCHESTER HLS,"48309
OAKLAND",View,View,,
N6540,GATES TECHNICAL CENTER,2975 WATERVIEW DRIVE,ROCHESTER HLS,"48309
OAKLAND",View,,,
M3988,GIGNAC'S COLLISION,1818 STAR BATT DRIVE,ROCHESTER HLS,"48309
OAKLAND",View,,,
N1333,"GREAT LAKES AGGREGATES, CROOKS ROAD PLANT",2240 AVON INDUSTRIAL DR,ROCHESTER HLS,"48309
OAKLAND",,View,,
P0530,HENRY FORD HOSPITAL SYSTEM-ROCHESTER HILLS,2571 PRODUCT DRIVE,ROCHESTER HLS,"48309
OAKLAND",,View,,
P0292,"HP ENTERPRISE SERVICES, LLC",1872 ENTERPRISE DRIVE,ROCHESTER HLS,"48309
OAKLAND",View,View,,
P0153,JESSUP ENGINEERING INC,2745 BOND ST,ROCHESTER HLS,"48309
OAKLAND",View,,,
N5677,LEAR CORPORATION DBA EAGLE OTTAWA,2930 WEST AUBURN RD,ROCHESTER HLS,"48309
OAKLAND",View,View,,
P0721,POLTRONA FRAU GROUP,2655 PRODUCT DRIVE,ROCHESTER HLS,"48309
OAKLAND",View,,,
P0204,PREFIX CORPORATION,1601 W HAMLIN RD,ROCHESTER HLS,"48309
OAKLAND",View,View,,
P0007,SPEEDWAY SUPERAMERICA LLC (SSA #2238),2255 CROOKS RD,ROCHESTER HLS,"48309
OAKLAND",View,View,,
P0428,UNIVERSAL TUBE INC.,2607 BOND STREET,ROCHESTER HLS,"48309
OAKLAND",View,,,
EN6300229,WALTON CLEANERS,1444 WALTON BLVD.,ROCHESTER HLS,"48309
OAKLAND",View,,,
N1276,WEBASTO SUNROOFS INC,2700 PRODUCT DR,ROCHESTER HLS,"48309
OAKLAND",View,View,,
U501802314 US FARATHANE CORPORATION,,38000 MOUND ROAD,STERLING HEIGHTS,"48310
MACOMB",View,,,
A3567,FORD MOTOR COMPANY - STERLING PLANT,39000  MOUND ROAD,STERLING HTS,"48310
MACOMB",View,View,,
N7392,MACK TRUCK & WIEGAND'S CRUSHED CONCRETE,37580 MOUND RD (NORTH OF 16 MILE RD),STERLING HTS,"48310
MACOMB",View,View,,
N6875,T J FIORE CRUSHED CONCRETE INC,33200 MOUND ROAD,STERLING HTS,"48310
MACOMB",,View,,
U631903952,154 LAKE STREET,154 LAKE STREET,PONTIAC,"48311
OAKLAND",View,,,
U501500984 BAE SYSTEMS,,34201 VAN DYKE,STERLING HEIGHTS,"48312
MACOMB",View,,,
N2432,"A G SIMPSON (USA), INC.",6640 STERLING DRIVE SOUTH,STERLING HTS,"48312
MACOMB",View,View,,
N5903,AJAX PAVING INDUSTRIES INC,14950 FIFTEEN MILE RD,STERLING HTS,"48312
MACOMB",View,,,
N3708,AMOCO OIL CO,15150 HALL RD,STERLING HTS,"48312
MACOMB",View,,,
N6676,CREST LINCOLN MERCURY SALES INC,36200 VAN DYKE,STERLING HTS,"48312
MACOMB",View,,,
N0101,EXPERI-METAL INC,6385 WALL ST,STERLING HTS,"48312
MACOMB",View,View,,
B7248,FCA US LLC STERLING HEIGHTS ASSEMBLY PLANT,38111  VAN DYKE,STERLING HTS,"48312
MACOMB",View,View View,,
B1801,"FCA US LLC, STERLING STAMPING PLANT",35777 VAN DYKE,STERLING HTS,"48312
MACOMB",View,,,
B5853,GANNETT PUBLISHING SERVICES,6200 METROPOLITAN PARKWAY,STERLING HTS,"48312
MACOMB",View,View,,
EN5000004,HONOR CLEANERS,35260 DODGE PARK,STERLING HTS,"48312
MACOMB",View,,,
P0226,LIBERTY CAST PRODUCTS INC,35705 BEATTIE DR,STERLING HTS,"48312
MACOMB",,View,,
N8009,"MICHIGAN BELL TELEPHONE COMPANY, DBA AT&T MICHIGAN",34480 VAN DYKE AVE,STERLING HTS,"48312
MACOMB",,View,,
B5797,"PROTOCON TRANSIT MIX, INC.",6227 METROPOLITAN PARKWAY,STERLING HTS,"48312
MACOMB",View,,,
P1048,"RAY'S RADIATOR CLINIC, INC.",6550 COBB DRIVE,STERLING HTS,"48312
MACOMB",View,,,
B6455,CURTIS METAL FINISHING CO,6645 SIMS DRIVE,STERLING HTS,"48313
MACOMB",View,View,,
N7770,DTE ENERGY LOCATED AT GENERAL DYNAMICS STERLING,6000 EAST 17 MILE RD,STERLING HTS,"48313
MACOMB",,View,,
N3885,VYLETEL BUICK GMC,40755 VAN DYKE,STERLING HTS,"48313
MACOMB",View,,,
N3175,WYATT SERVICES INC,6425 SIMS DR,STERLING HTS,"48313
MACOMB",,View,,
U501804093 FRAZA,,6570 19 MILE ROAD,STERLING HEIGHTS,"48314
MACOMB",View,,,
M3308,"A.G. SIMPSON AUTOMOTIVE SYSTEMS, INC.",6700 18 AND ONE HALF MILE,STERLING HTS,"48314
MACOMB",View,,,
N5779,"ACUMENT GLOBAL TECHNOLOGIES, RING SCREW LLC",6125 18 MILE ROAD,STERLING HTS,"48314
MACOMB",View,View,,
P0969,ADMIRAL METALS,41200 MOUND ROAD,STERLING HTS,"48314
MACOMB",View,,,
N3143,"CARROLL PRODUCTS, INC.",44056 PHOENIX DRIVE,STERLING HTS,"48314
MACOMB",View,View,,
N1704,EURA CRAFT INTERIORS,6611 DIPLOMAT,STERLING HTS,"48314
MACOMB",View,,,
B1771,FORD MOTOR COMPANY-VAN DYKE PLANT,41111 VAN DYKE,STERLING HTS,"48314
MACOMB",View,View,,
N5145,INDUSTRIAL METAL COATINGS INC,6070 18 MILE RD,STERLING HTS,"48314
MACOMB",View,View,,
,,EGLE Air Quality Division Source Master List Sorted By ZIP Code,,,,,,
Source ID,Company,Address,City,ZIP Code County,Other* ROP,PTI,,
N7738,"J.G. KERN ENTERPRISES, INC.",44044 MERRILL ST,STERLING HTS,"48314
MACOMB",View,,,
N1316,"MAYCO INTERNATIONAL, LLC",42400  MERRILL,STERLING HTS,"48314
MACOMB","View
View",,,
N1120,NISSHINBO AUTOMOTIVE MANUFACTURING,6100 19 MILE ROAD,STERLING HTS,"48314
MACOMB",View,View,,
B7030,"REKLEIN PLASTICS, INC.",41230 MOUND ROAD,STERLING HTS,"48314
MACOMB",View,,,
U501700025 CIE USA,,15004 23 MILE ROAD,SHELBY,"48315
MACOMB",View,,,
U741907807 CONNELL EQUIPMENT LEASING COMPANY,,50701 BIRCH LANE,SHELBY TOWNSHIP,"48315
SAINT CLAIR",View,,,
P0518,ACCU-TECH MANUFACTURING,51559 ORO ROAD,SHELBY TWP,"48315
MACOMB",View,,,
P0519,ACCU-TECH MANUFACTURING,51210 ORO ROAD,SHELBY TWP,"48315
MACOMB",View,,,
P1230,ANTOLIN SHELBY,52888 SHELBY PARKWAY,SHELBY TWP,"48315
MACOMB",,View,,
N0989,CADILLAC ASPHALT - SHELBY PLANT,12345 23-MILE ROAD,SHELBY TWP,"48315
MACOMB",View,View,,
N7187,CHAMPION LABORATORIES INC.,51180 CELESTE,SHELBY TWP,"48315
MACOMB",,View,,
N5600,COLLISION CRAFTSMEN,14080 23 MILE RD,SHELBY TWP,"48315
MACOMB",View,View,,
N7426,CROWN GROUP SHELBY TWP PLANT,12020 SHELBY TECH DR,SHELBY TWP,"48315
MACOMB",View,View,,
N6611,DEPOR INDUSTRIES,14830 E 23 MILE RD,SHELBY TWP,"48315
MACOMB",View,View,,
P0757,EPIC EQUIPMENT & ENGINEERING,51010 CELESTE DRIVE,SHELBY TWP,"48315
MACOMB",View,,,
O1448,EXTRUDE HONE THERMOBURR,50459 CENTRAL INDUSTRIAL DR,SHELBY TWP,"48315
MACOMB",,View,,
P0377,FLORENCE CEMENT COMPANY,51515 CORRIDOR,SHELBY TWP,"48315
MACOMB",View,,,
N6486,"GENERAL DYNAMICS LAND SYSTEMS, INC.",14920 23 MILE RD,SHELBY TWP,"48315
MACOMB",View,,,
N6859,IRWIN CREMATION SERVICE L.L.C.,51528 SCHOENHERRRD,SHELBY TWP,"48315
MACOMB",View,View,,
B7625,LAFATA ENTERPRISES INC.,50905 HAYES RD.,SHELBY TWP,"48315
MACOMB","View
View",,,
P0957,SAPA TRANSMISSION,11971 INVESTMENT DRIVE,SHELBY TWP,"48315
MACOMB",,View,,
EN5000090,"SHELBY CLEANERS, INC.",49117 SCHOENHERR,SHELBY TWP,"48315
MACOMB",View,,,
P0005,SOLUTIONS STEEL TREATING,51689 ORO DR.,SHELBY TWP,"48315
MACOMB",,View,,
P1131,"TREASURED PAL, LLC",50669 CENTRAL INDUSTRIAL,SHELBY TWP,"48315
MACOMB",View,View,,
P1002,VAN DER GRAAF CORPORATION,13771 CAVALIERE DRIVE,SHELBY TWP,"48315
MACOMB",View,View,,
P0761,WORLD CLASS EQUIPMENT COMPANY,51515 CELESTE DR.,SHELBY TWP,"48315
MACOMB",View,,,
U502002577 FORMER DON PABLOS RESTAURANT,,14181 HALL ROAD,SHELBYTOWNSHIP,"48315
MACOMB",View,,,
M3290,TI-COATING INC,50500 CORPORATE DR,UTICA,"48315
MACOMB",View,,,
U502003825 VACANT COMMERCIAL,,7777 25 MILE RD.,SHELBY TOWNSHIP,"48316
MACOMB",View,,,
EN5000080,"FABRITEC CLEANERS, INC.",8216 23 MILE ROAD,SHELBY TWP,"48316
MACOMB",View,,,
N8333,JAC PRODUCTS INC,12000 SHELBY TECH DR,SHELBY TWP,"48316
MACOMB",View,,,
U501903153 OFFICE BUILDING,,48945 VAN DYKE,SHELBY TWP,"48316
MACOMB",View,,,
B7346,PLASTIC TRENDS INC,56400 MOUND RD.,SHELBY TWP,"48316
MACOMB",,View,,
N7999,SHELBY CABINETS,4651 25 MILE RD,SHELBY TWP,"48316
MACOMB",View,View,,
N7707,"SHELBY FOAM SYSTEMS, A DIVISION OF MAGNA SEATING",6200 26 MILE RD,SHELBY TWP,"48316
MACOMB",View,View View,,
B1778,WEMCO,2465 23 MILE ROAD,SHELBY TWP,"48316
MACOMB",View,View,,
EN5000146,DRY CLEANER DISCOUNT,47058 DEQUINDRE RD,SHELBY TWP,"48317
MACOMB",View,,,
N7983,G & H LANDFILL,3160 23 MILE RD AND RYAN RD,SHELBY TWP,"48317
MACOMB",View,,,
P1020,"MESSINA TRUCKING, INC.",6386 AUBURN ROAD,SHELBY TWP,"48317
MACOMB",View,View,,
N8236,MRP PROPERTIES LLC,50990 VAN DYKE AVE,SHELBY TWP,"48317
MACOMB",,View,,
EN5000011,PALACE CLEANERS,48898 VAN DYKE AVE,SHELBY TWP,"48317
MACOMB",View,,,
N8051,FAST TRACK VENTURES ACQUISTIONS,45310 VAN DYKE AVE,UTICA,"48317
MACOMB",View,View,,
U502004173 FORMERLY ACES AUTO SALES,,44809 VANDYKE,UTICA,"48317
MACOMB",View,,,
U502003636 GERBER COLLISION & GLASS,,44053 VAN DYKE AVENUE,UTICA,"48317
MACOMB",View,,,
K2614,HUMANE SOCIETY OF MACOMB,11350 22 MILE RD,UTICA,"48317
MACOMB",View,,,
N2613,MESSINA TRUCKING INC,3295 AUBURN RD,UTICA,"48317
MACOMB",View,,,
B4131,MNP CORP,44225 UTICA RD,UTICA,"48317
MACOMB",,View,,
U502000149 NARDO CABINETS,,45520 VAN DYKE,UTICA,"48317
MACOMB",View,,,
U502003090 ZIEBART,,44033 VAN DYKE AVE.,UTICA,"48317
MACOMB",View,,,
N3301,TEIJIN ADVANCED COMPOSITES AMERICA INC.,1200 HARMON,AUBURN HILLS,"48321
OAKLAND",View,,,
P0336,HENRY FORD WEST BLOOMFIELD HOSPITAL,6777 WEST MAPLE ROAD,W BLOOMFIELD,"48322
OAKLAND",View,View,,
N8007,"MICHIGAN BELL TELEPHONE COMPANY, DBA AT&T MICHIGAN",7020 MIDDLEBELT RD,W BLOOMFIELD,"48322
OAKLAND",,View,,
N2793,DESIGNS UNLIMITED INC,3160 HAGGERTY RD,W BLOOMFIELD,"48323
OAKLAND",View,,,
N5228,MARATHON OIL CO,8185 COMMERCE AT UNION RD,UNION LAKE,"48324
OAKLAND",View,,,
P0127,ACME MFG CO,4240 N ATLANTIC BLVD,AUBURN HILLS,"48326
OAKLAND",View,,,
U63080283,AIR BOSS FLEXIBLE PRODUCTS COMPANY,2600 AUBURN COURT,AUBURN HILLS,"48326
OAKLAND",View,,,
B1956,AJAX MATERIALS CORPORATION,4875 BALD MOUNTAIN RD,AUBURN HILLS,"48326
OAKLAND",View,View,,
U631610757 AUTOLIVE NORTH AMERICA,,1320 PACIFIC DRIVE,AUBURN HILLS,"48326
OAKLAND",View,,,
"U631600672 BAE INDUSTRIES, INC.",,1426 PACIFIC DRIVE,AUBURN HILLS,"48326
OAKLAND",View,,,
P0430,"BONSAL AMERICAN, INC.",2280 AUBURN RD,AUBURN HILLS,"48326
OAKLAND",,View,,
N2674,CONTINENTAL AUTOMOTIVE SYSTEMS,2400 EXECUTIVE HILLS DR,AUBURN HILLS,"48326
OAKLAND",View,View,,
U63110318,CONTINENTAL AUTOMOTIVE SYSTEMS,ONE CONTINENTAL DRIVE,AUBURN HILLS,"48326
OAKLAND",View,,,
U631410488 CONTINENTAL AUTOMOTIVE SYSTEMS HARMON ROAD FACILIT,,1791 HARMON ROAD,AUBURN HILLS,"48326
OAKLAND",View,,,
P0913,"CONTINENTAL AUTOMOTIVE SYSTEMS, INC",1 CONTINENTAL DRIVE,AUBURN HILLS,"48326
OAKLAND",,View,,
EN6300089,CUSTOM VILLAGE CLEANERS,3259 SOUTH BOULEVARD EAST,AUBURN HILLS,"48326
OAKLAND",View,,,
